Source,Target,Type,Id,Type_edge,Weigth
2993,812,Undirected,323,inventeur_brevet,1
2994,1382,Undirected,324,inventeur_brevet,1
2995,2180,Undirected,325,inventeur_brevet,1
2996,276,Undirected,326,inventeur_brevet,1
2997,599,Undirected,327,inventeur_brevet,1
2998,1153,Undirected,328,inventeur_brevet,1
2999,1853,Undirected,329,inventeur_brevet,1
3000,768,Undirected,330,inventeur_brevet,1
3001,1674,Undirected,331,inventeur_brevet,1
3002,807,Undirected,332,inventeur_brevet,1
3003,1532,Undirected,333,inventeur_brevet,1
3004,1795,Undirected,334,inventeur_brevet,1
3005,1163,Undirected,335,inventeur_brevet,1
3006,2674,Undirected,336,inventeur_brevet,1
3007,2659,Undirected,337,inventeur_brevet,1
3008,306,Undirected,338,inventeur_brevet,1
3009,2594,Undirected,339,inventeur_brevet,1
3010,1299,Undirected,340,inventeur_brevet,1
3011,2389,Undirected,341,inventeur_brevet,1
3012,1600,Undirected,342,inventeur_brevet,1
3013,2360,Undirected,343,inventeur_brevet,1
3014,1847,Undirected,344,inventeur_brevet,1
3015,346,Undirected,345,inventeur_brevet,1
3016,1327,Undirected,346,inventeur_brevet,1
3017,369,Undirected,347,inventeur_brevet,1
3018,1636,Undirected,348,inventeur_brevet,1
3019,8,Undirected,349,inventeur_brevet,1
3020,601,Undirected,350,inventeur_brevet,1
3021,2333,Undirected,351,inventeur_brevet,1
3022,447,Undirected,352,inventeur_brevet,1
3023,474,Undirected,353,inventeur_brevet,1
3024,1025,Undirected,354,inventeur_brevet,1
3025,674,Undirected,355,inventeur_brevet,1
3026,795,Undirected,356,inventeur_brevet,1
3027,724,Undirected,357,inventeur_brevet,1
3028,1792,Undirected,358,inventeur_brevet,1
3029,1006,Undirected,359,inventeur_brevet,1
3030,1089,Undirected,360,inventeur_brevet,1
3031,2114,Undirected,361,inventeur_brevet,1
3032,2112,Undirected,362,inventeur_brevet,1
3033,47,Undirected,363,inventeur_brevet,1
3034,2303,Undirected,364,inventeur_brevet,1
3035,2286,Undirected,365,inventeur_brevet,1
3036,1518,Undirected,366,inventeur_brevet,1
3037,735,Undirected,367,inventeur_brevet,1
3038,1906,Undirected,368,inventeur_brevet,1
3039,1646,Undirected,369,inventeur_brevet,1
3040,692,Undirected,370,inventeur_brevet,1
3041,1830,Undirected,371,inventeur_brevet,1
3042,385,Undirected,372,inventeur_brevet,1
3043,2373,Undirected,373,inventeur_brevet,1
3044,761,Undirected,374,inventeur_brevet,1
3045,6,Undirected,375,inventeur_brevet,1
3046,891,Undirected,376,inventeur_brevet,1
3047,979,Undirected,377,inventeur_brevet,1
3048,362,Undirected,378,inventeur_brevet,1
3049,323,Undirected,379,inventeur_brevet,1
3050,597,Undirected,380,inventeur_brevet,1
3051,1576,Undirected,381,inventeur_brevet,1
3052,418,Undirected,382,inventeur_brevet,1
3053,711,Undirected,383,inventeur_brevet,1
3054,1162,Undirected,384,inventeur_brevet,1
3055,631,Undirected,385,inventeur_brevet,1
3056,738,Undirected,386,inventeur_brevet,1
3057,163,Undirected,387,inventeur_brevet,1
3058,86,Undirected,388,inventeur_brevet,1
3059,724,Undirected,389,inventeur_brevet,1
3060,762,Undirected,390,inventeur_brevet,1
3061,2380,Undirected,391,inventeur_brevet,1
3062,1242,Undirected,392,inventeur_brevet,1
3063,29,Undirected,393,inventeur_brevet,1
3064,376,Undirected,394,inventeur_brevet,1
3064,377,Undirected,395,inventeur_brevet,1
3064,378,Undirected,396,inventeur_brevet,1
3065,276,Undirected,397,inventeur_brevet,1
3066,1620,Undirected,398,inventeur_brevet,1
3066,1645,Undirected,399,inventeur_brevet,1
3067,844,Undirected,400,inventeur_brevet,1
3068,1038,Undirected,401,inventeur_brevet,1
3069,2072,Undirected,402,inventeur_brevet,1
3070,11,Undirected,403,inventeur_brevet,1
3071,172,Undirected,404,inventeur_brevet,1
3072,1595,Undirected,405,inventeur_brevet,1
3073,1985,Undirected,406,inventeur_brevet,1
3074,1740,Undirected,407,inventeur_brevet,1
3075,481,Undirected,408,inventeur_brevet,1
3076,481,Undirected,409,inventeur_brevet,1
3077,1977,Undirected,410,inventeur_brevet,1
3077,1978,Undirected,411,inventeur_brevet,1
3078,1912,Undirected,412,inventeur_brevet,1
3079,1543,Undirected,413,inventeur_brevet,1
3080,2455,Undirected,414,inventeur_brevet,1
3080,2484,Undirected,415,inventeur_brevet,1
3081,1430,Undirected,416,inventeur_brevet,1
3082,1559,Undirected,417,inventeur_brevet,1
3083,1321,Undirected,418,inventeur_brevet,1
3084,2331,Undirected,419,inventeur_brevet,1
3085,956,Undirected,420,inventeur_brevet,1
3086,802,Undirected,421,inventeur_brevet,1
3087,249,Undirected,422,inventeur_brevet,1
3088,1107,Undirected,423,inventeur_brevet,1
3089,1313,Undirected,424,inventeur_brevet,1
3090,867,Undirected,425,inventeur_brevet,1
3091,2245,Undirected,426,inventeur_brevet,1
3092,194,Undirected,427,inventeur_brevet,1
3093,2639,Undirected,428,inventeur_brevet,1
3094,2257,Undirected,429,inventeur_brevet,1
3095,1810,Undirected,430,inventeur_brevet,1
3096,2634,Undirected,431,inventeur_brevet,1
3097,2338,Undirected,432,inventeur_brevet,1
3098,1729,Undirected,433,inventeur_brevet,1
3099,1849,Undirected,434,inventeur_brevet,1
3100,2675,Undirected,435,inventeur_brevet,1
3101,1818,Undirected,436,inventeur_brevet,1
3102,518,Undirected,437,inventeur_brevet,1
3103,1828,Undirected,438,inventeur_brevet,1
3104,759,Undirected,439,inventeur_brevet,1
3105,759,Undirected,440,inventeur_brevet,1
3106,759,Undirected,441,inventeur_brevet,1
3107,1989,Undirected,442,inventeur_brevet,1
3108,2100,Undirected,443,inventeur_brevet,1
3109,2072,Undirected,444,inventeur_brevet,1
3110,1965,Undirected,445,inventeur_brevet,1
3111,2418,Undirected,446,inventeur_brevet,1
3112,27,Undirected,447,inventeur_brevet,1
3113,799,Undirected,448,inventeur_brevet,1
3114,1794,Undirected,449,inventeur_brevet,1
3115,1087,Undirected,450,inventeur_brevet,1
3116,1600,Undirected,451,inventeur_brevet,1
3117,1585,Undirected,452,inventeur_brevet,1
